"month","flat_type","block","street_name","storey_range","Floor_Range","floor_area_sqm","lease_commence_date","remaining_lease","Total_Months","resale_price","Flag_for_floor_range","Flag_for_total_months"
"2020-06","EXECUTIVE","244","BISHAN ST 22","01 TO 03","1","146","1992","71 years 02 months","852","825000","1","1"
"2020-06","EXECUTIVE","238","BISHAN ST 22","04 TO 06","4","146","1992","71 years 02 months","852","820000","1","1"
"2020-06","EXECUTIVE","231","BISHAN ST 23","04 TO 06","4","146","1992","71 years","852","975000","1","1"
"2020-06","EXECUTIVE","278","BISHAN ST 24","19 TO 21","19","149","1992","71 years 04 months","852","880000","3","1"
"2020-07","3 ROOM","108","BISHAN ST 12","04 TO 06","4","64","1985","64 years 03 months","768","330000","1","1"
"2020-07","3 ROOM","306","SHUNFU RD","01 TO 03","1","76","1985","63 years 06 months","756","400000","1","1"
"2020-07","3 ROOM","407","SIN MING AVE","01 TO 03","1","64","1986","65 years 01 month","780","330000","1","1"
"2020-07","3 ROOM","22","SIN MING RD","07 TO 09","7","68","1973","52 years 03 months","624","295000","2","0"
"2020-07","3 ROOM","24","SIN MING RD","10 TO 12","10","65","1973","52 years 03 months","624","264500","2","0"
"2020-07","4 ROOM","503","BISHAN ST 11","04 TO 06","4","103","1989","68 years 05 months","816","680000","1","1"
"2020-07","4 ROOM","506","BISHAN ST 11","10 TO 12","10","103","1989","68 years 03 months","816","610000","2","1"
"2020-07","4 ROOM","127","BISHAN ST 12","07 TO 09","7","84","1986","65 years 06 months","780","465000","2","1"
"2020-07","4 ROOM","124","BISHAN ST 12","07 TO 09","7","83","1987","65 years 11 months","780","485000","2","1"
"2020-07","4 ROOM","175","BISHAN ST 13","07 TO 09","7","83","1987","66 years 02 months","792","475000","2","1"
"2020-07","4 ROOM","178","BISHAN ST 13","10 TO 12","10","83","1987","66 years 03 months","792","550000","2","1"
"2020-07","4 ROOM","181","BISHAN ST 13","10 TO 12","10","86","1987","65 years 07 months","780","530000","2","1"
"2020-07","4 ROOM","256","BISHAN ST 22","01 TO 03","1","107","1992","71 years 01 month","852","518000","1","1"
"2020-07","4 ROOM","260","BISHAN ST 22","04 TO 06","4","104","1992","70 years 11 months","840","520000","1","1"
"2020-07","5 ROOM","149","BISHAN ST 11","04 TO 06","4","122","1987","65 years 07 months","780","630000","1","1"
"2020-07","5 ROOM","141","BISHAN ST 12","07 TO 09","7","130","1988","67 years 02 months","804","688000","2","1"
"2020-07","5 ROOM","125","BISHAN ST 12","07 TO 09","7","121","1987","66 years","792","688000","2","1"
"2020-07","5 ROOM","165","BISHAN ST 13","01 TO 03","1","121","1988","67 years 03 months","804","650000","1","1"
"2020-07","5 ROOM","196","BISHAN ST 13","04 TO 06","4","123","1987","65 years 06 months","780","852000","1","1"
"2020-07","5 ROOM","156","BISHAN ST 13","04 TO 06","4","131","1988","67 years 02 months","804","780000","1","1"
"2020-07","5 ROOM","158","BISHAN ST 13","04 TO 06","4","127","1988","66 years 07 months","792","730000","1","1"
"2020-07","5 ROOM","196","BISHAN ST 13","04 TO 06","4","121","1987","65 years 06 months","780","550000","1","1"
"2020-07","5 ROOM","242","BISHAN ST 22","01 TO 03","1","132","1992","71 years","852","875000","1","1"
